Date,Description,Amount
01/02/2024,SQ *BLUE BOTTLE 0123 OAKLAND CA,-5.75
01/03/2024,STARBUCKS STORE #1234 SEATTLE WA,-4.25
01/03/2024,PAYROLL DIRECT DEP ACME CORP,2500.00
01/05/2024,SHELL OIL 57442100 SAN JOSE CA,-48.10
01/06/2024,WHOLE FOODS MKT #123 SF CA,-86.43
01/07/2024,NETFLIX.COM LOS GATOS CA,-15.49
01/08/2024,UBER TRIP HELP.UBER.COM CA,-23.40
01/09/2024,TRADER JOE'S #123 SF CA,-52.18
01/10/2024,SPOTIFY USA NEW YORK NY,-11.99
01/12/2024,SHELL OIL 57442100 SAN JOSE CA,-41.02
01/14/2024,WHOLE FOODS MKT #123 SF CA,-64.20
01/15/2024,STARBUCKS STORE #1234 SEATTLE WA,-5.45
01/18/2024,COMCAST CABLE COMM 800-COMCAST,-89.99
01/20/2024,DOORDASH*CHIPOTLE SAN FRANCISCO CA,-28.75
01/22/2024,UBER TRIP HELP.UBER.COM CA,-18.10
